COMPANY TICKER,COMPANY NAME
ANA,ACCIONA
ACX,ACERINOX
ACS,ACS ACTIVIDADES CONST.Y SERVICIOS
AENA,AENA
AMS,AMADEUS IT GROUP
MTS,ARCELORMITTAL
SAB,BANCO DE SABADELL
SAN,BANCO SANTANDER
BKIA,BANKIA
BKT,BANKINTER
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA
CABK,CAIXABANK
CLNX,CELLNEX TELECOM
CIE,CIE AUTOMOTIVE
ENG,ENAGAS
ENC,ENCE ENERGIA Y CELULOSA
ELE,ENDESA
FER,FERROVIAL
GRF,GRIFOLS CLASE A
IAG,INTERNATIONAL CONSOLIDAT.AIRLINES GROUP
IBE,IBERDROLA
ITX,IND. DE DISEÑO TEXTIL (INDITEX)
IDR,INDRA SERIE A
COL,INMOBILIARIA COLONIAL
MAP,MAPFRE S.A.
TL5,MEDIASET ESPAÑA COMUNICACION
MEL,MELIA HOTELS INTERNATIONAL
MRL,MERLIN PROPERTIES
NTGY,NATURGY ENERGY GROUP
REE,RED ELECTRICA CORPORACION
REP,REPSOL
SGRE,SIEMENS GAMESA RENEWABLE ENERGY
TRE,TECNICAS REUNIDAS
TEF,TELEFONICA
VIS,VISCOFAN
